"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
364, 8.985101664025356e-01, -4.260920028123383e-02, 1.202090163619701e+00, 3.523449067185599e+01, 1.332587630535694e+01, 2.533929233895571e+05, 1.011210725379373e+05, 2.930454408873884e+02, 9.131565056484738e-02, -4.382188190651804e-01
365, 8.848525586649492e-01, -4.777998741299383e-02, 1.201575391772588e+00, 3.631678657497675e+01, 1.352706757298570e+01, 2.532710597864316e+05, 1.010584370132862e+05, 2.929893922965590e+02, 9.399252626663307e-02, -5.728160202782866e-01
366, 8.710534954792429e-01, -5.286889670566849e-02, 1.201431243897723e+00, 3.739676864642611e+01, 1.348567666143114e+01, 2.532675771195973e+05, 1.010439476646375e+05, 2.929825325311292e+02, 9.643004639552263e-02, -6.039521173473373e-01
367, 8.570431550858914e-01, -5.789632644373204e-02, 1.201081547700698e+00, 3.839435966599389e+01, 1.352890247025163e+01, 2.531960694173124e+05, 1.010024834633289e+05, 2.929475719569476e+02, 9.877923870908301e-02, -6.930543556978128e-01
368, 8.428700447247478e-01, -6.283905379055002e-02, 1.200795196738301e+00, 3.937614903002714e+01, 1.349542873505070e+01, 2.531424448260144e+05, 1.009684012082663e+05, 2.929185547783505e+02, 1.010319866011439e-01, -7.662935624900929e-01
369, 8.285594285774870e-01, -6.768339246214443e-02, 1.200547382881134e+00, 4.029031835341225e+01, 1.340464630894254e+01, 2.530984227007418e+05, 1.009390070418805e+05, 2.928937254979200e+02, 1.030893952043168e-01, -8.294585563104616e-01
370, 8.140260548184091e-01, -7.245223647978122e-02, 1.200310002507079e+00, 4.114344711483272e+01, 1.326529890075058e+01, 2.530566860898167e+05, 1.009112963100235e+05, 2.928712260253058e+02, 1.049772379661087e-01, -8.890060251357241e-01
371, 7.835321936046352e-01, -8.196158048578192e-02, 1.199864535069385e+00, 4.273891999678882e+01, 1.284447403529536e+01, 2.529772451718017e+05, 1.008589279608417e+05, 2.928279155916474e+02, 1.084209729586437e-01, -1.001540138504718e+00
372, 7.676029657477536e-01, -8.665993901805671e-02, 1.199657447346903e+00, 4.349335161075080e+01, 1.256734550298575e+01, 2.529406367469764e+05, 1.008345555226031e+05, 2.928076905155812e+02, 1.100115430040692e-01, -1.053913962974640e+00
373, 7.516239607139181e-01, -9.118608056373255e-02, 1.199454421796402e+00, 4.421632236179792e+01, 1.225726667295326e+01, 2.529043760449259e+05, 1.008107035234429e+05, 2.927879784064172e+02, 1.115193499633220e-01, -1.105169418216499e+00
374, 7.355963246405708e-01, -9.553671294602104e-02, 1.199260924917008e+00, 4.490660747685622e+01, 1.191503038152400e+01, 2.528699415242187e+05, 1.007879930065825e+05, 2.927692492276269e+02, 1.129426427277440e-01, -1.153971947205250e+00
375, 7.195211173961552e-01, -9.970844272103745e-02, 1.199069326766844e+00, 4.557007665983011e+01, 1.154594811907864e+01, 2.528352624703527e+05, 1.007654956416389e+05, 2.927506696961477e+02, 1.143005270941641e-01, -1.202316434984949e+00
376, 7.033996911564074e-01, -1.036976741928715e-01, 1.198887022880906e+00, 4.621319847956400e+01, 1.114974777156094e+01, 2.528030731102412e+05, 1.007442168074032e+05, 2.927333555422329e+02, 1.156082321711037e-01, -1.248042427529235e+00
377, 6.872333442901724e-01, -1.075006945559683e-01, 1.198710032959008e+00, 4.683745794035543e+01, 1.072489222773870e+01, 2.527715452335719e+05, 1.007234088741629e+05, 2.927161069947670e+02, 1.168702876193959e-01, -1.292756503012370e+00
378, 6.710234482441773e-01, -1.111136510221037e-01, 1.198535013264798e+00, 4.744198609316552e+01, 1.027325266314956e+01, 2.527401935373826e+05, 1.007028837679311e+05, 2.926991942504364e+02, 1.180873228155941e-01, -1.336862812790887e+00
379, 6.547715277017849e-01, -1.145325289113917e-01, 1.198367941010097e+00, 4.802789563567243e+01, 9.795461512164007e+00, 2.527103859862135e+05, 1.006831707327559e+05, 2.926826961945347e+02, 1.192630415933341e-01, -1.379224066676452e+00
380, 6.384791593447012e-01, -1.177531675530313e-01, 1.198204751408229e+00, 4.859545674182763e+01, 9.290577033729106e+00, 2.526814261629686e+05, 1.006639870015199e+05, 2.926667840635216e+02, 1.203993974438786e-01, -1.420447901673870e+00
